# Hesudhar Corrections File
# Format: incorrect_word|corrected_word
# This file is automatically updated when the database changes
# Last updated: 2025-08-12
# Total entries: 9607

آئينه|آئينہ
تهجّي|تھجّي
تهخانو|تھخانو
تهدر|تھدر
تهدل|تھدل
تهديد|تھديد
تهذيب|تھذيب
تهر|تھر
تهري|تھري
تهڙ|تھڙ
تهڙا|تھڙا
تهڙو|تھڙو
تهسب|تھسب
تهسبو|تھسبو
تهطلب|تھطلب
تهڪارڻ|تھڪارڻ
تهل|تھل
تهلڪ|تھلڪ
تهلڪو|تھلڪو
تهمت|تھمت
تهمتي|تھمتي
تهمل|تھمل
تهموري|تھموري
تهن|تھن
تهنال|تھنال
تهنبل|تھنبل
تهنيت|تھنيت
تهه|تھه
تهو|تھو
تهوارون|تھوارون
تهوت|تھوت
تهور|تھور
تهي|تھي
تهياري|تھياري
تهيپو|تھيپو
تهيت|تھيت
تهير|تھير
تهيري|تھيري
تهين|تھين
تهيه|تھيہ
تهيون|تھيون
تھ|تہ
توبه|توبہ
توبهه|توبھہ
توجه|توجہ
توجهي|توجھي
توجيه|توجيہ
توچڻاه|توچڻاھ
تودهه|تودھہ
توشه|توشہ
تونهين|تونھين
توهائڻ|توھائڻ
توهار|توھار
توهان|توھان
توهر|توھر
توهڙ|توھڙ
توهڻ|توھڻ
توهه|توھہ
توهيا|توھيا
توهين|توھين
تيڏانهن|تيڏانھن
تيڏانهون|تيڏانھون
تيڏانهين|تيڏانھين
تيربهدف|تيربھدف
تيره|تيرہ
تيرهن|تيرھن
تيرهو|تيرھو
تيرهون|تيرھون
تيرهي|تيرھي
تيرهيو|تيرھيو
تيلاهو|تيلاھو
تيلاهين|تيلاھين
تيلهه|تيلهہ
تيلھان|تيلهان
تيلھوڙي|تيلهوڙي
تيلھوڙيون|تيلهوڙيون
تيهارڻ|تيھارڻ
تيهو|تيھو
ثابته|ثابتہ
ثانيه|ثانيہ
ثقه|ثقہ
ثلاثه|ثلاثہ
ثمره|ثمرہ
ثيبه|ثيبہ
ٺاٺوهڻ|ٺاٺوھڻ
ٺالهه|ٺالهہ
ٺالھجڻ|ٺالهجڻ
ٺالھجي|ٺالهجي
ٺالھڻ|ٺالهڻ
ٺالھو|ٺالهو
ٺالھي|ٺالهي
ٺانگاهه|ٺانگاھ
ٺاهري|ٺاھري
ٺاهڻ|ٺاھڻ
ٺاهه|ٺاھ
ٺاههِ|ٺاهہِ
ٺاهو|ٺاھو
ٺاهوڪو|ٺاھوڪو
ٺاهي|ٺاھي
ٺٽه|ٺٽہ
ٺرهار|ٺرھار
ٺڙهه|ٺڙھہ
ٺلاهه|ٺلاھ
ٺلهه|ٺلهہ
ٺلھا|ٺلها
ٺلھائي|ٺلهائي
ٺلھڻ|ٺلهڻ
ٺلھو|ٺلهو
ٺلھي|ٺلهي
ٺهاء|ٺھاء
ٺهائتو|ٺھائتو
ٺهائڻ|ٺھائڻ
ٺهپ|ٺھپ
ٺهپر|ٺھپر
ٺهت|ٺھت
ٺهٺپ|ٺھٺپ
ٺهٽ|ٺھٽ
ٺهر|ٺھر
ٺهراء|ٺھراء
ٺهرائتو|ٺھرائتو
ٺهرائڻ|ٺھرائڻ
ٺهرڻ|ٺھرڻ
ٺهرو|ٺھرو
ٺهري|ٺھري
ٺهريل|ٺھريل
ٺهڦهه|ٺھڦھہ
ٺهڪائڻ|ٺھڪائڻ
ٺهڪڻ|ٺھڪڻ
ٺهڪڻو|ٺھڪڻو
ٺهڪو|ٺھڪو
ٺهڪي|ٺھڪي
ٺهندو|ٺھندو
ٺهندي|ٺھندي
ٺهنڪار|ٺھنڪار
ٺهنگو|ٺھنگو
ٺهڻ|ٺھڻ
ٺهه|ٺھہ
ٺهو|ٺھو
ٺهوڙ|ٺھوڙ
ٺهوڙڻ|ٺھوڙڻ
ٺهي|ٺھي
ٺهيل|ٺھيل
ٺوڙها|ٺوڙھا
ٺوڙهه|ٺوڙھہ
ٺوڙهو|ٺوڙھو
ٺوڙهي|ٺوڙھي
ٺوڙهيء|ٺوڙھيء
ٺوڙهيون|ٺوڙھيون
ٺولھڙو|ٺولهڙو
ٺولھڻو|ٺولهڻو
ٺولھو|ٺولهو
ٺولھي|ٺولهي
ٺونهڻ|ٺونھڻ
ٺوه|ٺوہ
ٺوهڻ|ٺوھڻ
ٺوهيو|ٺوھيو
ٺيڙهي|ٺيڙهي
ٺيلهه|ٺيلهہ
ٺيلھائڻ|ٺيلهائڻ
ٺيلھان|ٺيلهان
ٺيلھجڻ|ٺيلهجڻ
ٺيلھڻ|ٺيلهڻ
ٺيلھو|ٺيلهو
ٺيلھي|ٺيلهي
ٺينهون|ٺينھون
ٺيهه|ٺيھہ
ٺيهو|ٺيھو
ٽاڙهه|ٽاڙھہ
ٽاڙهو|ٽاڙھو
ٽاڙهي|ٽاڙھي
ٽالهه|ٽالهہ
ٽالھڻ|ٽالهڻ
ٽالھو|ٽالهو
ٽالھي|ٽالهي
ٽالھياري|ٽالهياري
ٽاهڙ|ٽاھڙ
ٽاهڻ|ٽاھڻ
ٽاهه|ٽاھ
ٽاهو|ٽاھو
ٽاهوڪ|ٽاھوڪ
ٽٻوهي|ٽٻوھي
ٽپهري|ٽپھري
ٽٽيهر|ٽٽيھر
ٽجهڻ|ٽجهڻ
ٽرهائجڻ|ٽرھائجڻ
ٽرهائڻ|ٽرھائڻ
ٽرهاڙ|ٽرھاڙ
ٽرهاڙي|ٽرھاڙي
ٽرهاڙيون|ٽرھاڙيون
ٽرهاڻا|ٽرھاڻا
ٽرهڙ|ٽرھڙ
ٽرهڻ|ٽرھڻ
ٽرهه|ٽرھہ
ٽرهوڙ|ٽرھوڙ
ٽريلڙهه|ٽريلڙھہ
ٽريلھڙ|ٽريلهڙ
ٽريلھه|ٽريلهہ
ٽريها|ٽريھا
ٽريهان|ٽريھان
ٽريهتر|ٽريھتر
ٽريهٺ|ٽريھٺ
ٽريهر|ٽريھر
ٽريهڙ|ٽريھڙ
ٽريهن|ٽريھن
ٽريهڻ|ٽريھڻ
ٽريهه|ٽريھہ
ٽريهو|ٽريھو
ٽريهون|ٽريھون
ٽريونجاه|ٽريونجاھ
ٽڙهه|ٽڙھہ
ٽڙهو|ٽڙھو
ٽگھڙو|ٽگهڙو
ٽگھلجڻ|ٽگهلجڻ
ٽلڙهه|ٽلڙھہ
ٽلڙهو|ٽلڙھو
ٽلهه|ٽلهہ
ٽماهو|ٽماھو
ٽماهي|ٽماھي
ٽمجهڻ|ٽمجهڻ
ٽمنهون|ٽمنھون
ٽمنهين|ٽمنھين
ٽمونهين|ٽمونھين
ٽنگھڻ|ٽنگهڻ
ٽنوهر|ٽنوھر
ٽه|ٽہ
ٽهائجڻ|ٽھائجڻ
ٽهائڻ|ٽھائڻ
ٽهار|ٽھار
ٽهارڻ|ٽھارڻ
ٽهارو|ٽھارو
ٽهاڙ|ٽھاڙ
ٽهاڙي|ٽھاڙي
ٽهاڙيون|ٽھاڙيون
ٽهاڻ|ٽھاڻ
ٽهاڻا|ٽھاڻا
ٽهاڻو|ٽھاڻو
ٽهڏ|ٽھڏ
ٽهر|ٽھر
ٽهرائڻ|ٽھرائڻ
ٽهرڻ|ٽھرڻ
ٽهڙ|ٽھڙ
ٽهڙائي|ٽھڙائي
ٽهڙو|ٽھڙو
ٽهڪڻ|ٽھڪڻ
ٽهڳ|ٽھڳ
ٽهڳو|ٽھڳو
ٽهلي|ٽھلي
ٽهڻ|ٽھڻ
ٽهڻي|ٽھڻي
ٽهه|ٽھہ
ٽهو|ٽھو
ٽهوڙ|ٽھوڙ
ٽهي|ٽھي
ٽوريهو|ٽوريھو
ٽوڙهو|ٽوڙھو
ٽولھر|ٽولهر
ٽولھڙو|ٽولهڙو
ٽوها|ٽوھا
ٽوهال|ٽوھال
ٽوهڙ|ٽوھڙ
ٽوهه|ٽوھہ
ٽوهو|ٽوھو
ٽوهي|ٽوھي
ٽوهيو|ٽوھيو
ٽوهيون|ٽوھيون
ٽيانگھي|ٽيانگهي
ٽيانگھيون|ٽيانگهيون
ٽيپهري|ٽيپھري
ٽيتاليهه|ٽيتاليھہ
ٽيٽاهه|ٽيٽاھ
ٽيٽيهر|ٽيٽيھر
ٽيٽيهه|ٽيٽيھہ
ٽيجهه|ٽيجهہ
ٽيجھو|ٽيجهو
ٽيلڙهه|ٽيلڙھہ
ٽيلھڙ|ٽيلهڙ
ٽيلھه|ٽيلهہ
ٽيهئي|ٽيھئي
ٽيها|ٽيھا
ٽيهان|ٽيھان
ٽيهاڻ|ٽيھاڻ
ٽيهاڻا|ٽيھاڻا
ٽيهاڻو|ٽيھاڻو
ٽيهتر|ٽيھتر
ٽيهٺ|ٽيھٺ
ٽيهر|ٽيھر
ٽيهڙ|ٽيھڙ
ٽيهڻ|ٽيھڻ
ٽيهه|ٽيھہ
ٽيهو|ٽيھو
ٽيهون|ٽيھون
ٽيهين|ٽيھين
ٽيونجاه|ٽيونجاھ
ٿالهہ|ٿالهہ
ٿالھي|ٿالهي
ٿالھيء|ٿالهيء
ٿالھيئون|ٿالهيئون
ٿانهر|ٿانھر
ٿانهريو|ٿانھريو
ٿاهر|ٿاھر
ٿاهرڻ|ٿاھرڻ
ٿاهرو|ٿاھرو
ٿاهه|ٿاھ
ٿاهي|ٿاھي
ٿرڄاها|ٿرڄاھا
ٿرهانڊو|ٿرھانڊو
ٿڙها|ٿڙھا
ٿڙهو|ٿڙھو
ٿڙهي|ٿڙھي
ٿڙهيون|ٿڙھيون
ٿلهه|ٿلهہ
ٿلھا|ٿلها
ٿلھڙ|ٿلهڙ
ٿلھڙو|ٿلهڙو
ٿلھو|ٿلهو
ٿلھي|ٿلهي
ٿلھيرڙو|ٿلهيرڙو
ٿنهر|ٿنھر
ٿنهرائڻ|ٿنھرائڻ
ٿنهرڻ|ٿنھرڻ
ٿنهڻ|ٿنھڻ
ٿنهه|ٿنھہ
ٿنهي|ٿنھي
ٿهائتو|ٿھائتو
ٿهر|ٿھر
ٿهرائڻ|ٿھرائڻ
ٿهرم|ٿھرم
ٿهرڻ|ٿھرڻ
ٿهرو|ٿھرو
ٿهريو|ٿھريو
ٿهمر|ٿھمر
ٿهڻ|ٿھڻ
ٿهو|ٿھو
ٿهي|ٿھي
ٿهيم|ٿھيم
ٿولهه|ٿولهہ
ٿوهان|ٿوھان
ٿوهر|ٿوھر
ٿوهڙ|ٿوھڙ
ٿوهه|ٿوھہ
ٿوهو|ٿوھو
ٿيلهه|ٿيلهہ
ٿيلھا|ٿيلها
ٿيلھڻ|ٿيلهڻ
ٿيلھو|ٿيلهو
ٿيلھي|ٿيلهي
ٿيلھيء|ٿيلهيء
ٿيلھيون|ٿيلهيون
جئه|جئہ
جاٿانهون|جاٿانھون
جاجهڳڙا|جاجهڳڙا
جاجهڻجا|جاجهڻجا
جاجهه|جاجهہ
جاجهوڙڻ|جاجهوڙڻ
جاده|جادہ
جاذبه|جاذبہ
جاڏانهن|جاڏانھن
جاڏاهون|جاڏاھون
جاڏنهن|جاڏنھن
جاڏهن|جاڏھن
جاگها|جاگها
جاڳاهه|جاڳاھ
جاڳهه|جاڳھہ
جامجهان|جامجھان
جامعه|جامعہ
جامه|جامہ
جاميه|جاميہ
جانجهه|جانجهہ
جانجھر|جانجهر
جانجھرو|جانجهرو
جانجھڻ|جانجهڻ
جانجھه|جانجھہ
جانجھولڻ|جانجهولڻ
جانجھولو|جانجهولو
جانڊاه|جانڊاھ
جانڊاهي|جانڊاھي
جانڊهه|جانڊھہڱ
جانڪاه|جانڪاھ
جانهريو|جانھريو
جانهولو|جانھولو
جانهوليو|جانھوليو
جاه|جاھ
جاهل|جاھل
جاهلپڻو|جاھلپڻو
جاهلي|جاھلي
جاهليت|جاھليت
جاهه|جاھ
جبهه|جبھہ
جتاهون|جتاھون
جتنهون|جتنھون
جٽاهانسي|جٽاھانسي
جٿانهون|جٿانھون
ججهڪو|ججهڪو
ججهه|ججهہ
ججهو|ججهو
جداگانه|جداگانہ
جده|جدہ
جديده|جديدہ
جڏهاڪر|جڏھاڪر
جڏهاڪو|جڏھاڪو
جڏهانڪر|جڏھانڪر
جڏهانڪو|جڏھانڪو
جڏهن|جڏھن
جڏهوڪو|جڏھوڪو
جڏهوڻڪو|جڏھوڻڪو
جڏهوڻو|جڏھوڻو
جڏهين|جڏھين
جرعه|جرعہ
جرڪوهيارو|جرڪوھيارو
جزيه|جزيہ
جسته|جستہ
جغرافيه|جغرافيہ
جفاپيشه|جفاپيشہ
جڪٽاهه|جڪٽاھ
جڳهه|جڳھہ
جڳھه|جڳھہ
جلئه|جلئہ
جلاله|جلالہ
جلاهو|جلاھو
جلهه|جلهہ
جلھڻ|جلهڻ
جلوه|جلوہ
جمره|جمرہ
جمعه|جمعہ
جمهور|جمھور
جمهوري|جمھوري
جمهوريت|جمھوريت
جمهوريه|جمھوريہ
جنباهه|جنباھ
جنجهه|جنجهہ
جنجھڻ|جنجهڻ
جنجھڻو|جنجهڻو
جنجھي|جنجهي
جنجھير|جنجهير
جنگاهه|جنگاھ
جنگشاهي|جنگشاھي
جنهر|جنھر
جنهن|جنھن
جنهنجي|جنھنجي
جنهڻ|جنھڻ
جنهوار|جنھوار
جنهور|جنھور
جنهوري|جنھوري
جنوهار|جنوھار
جنوهر|جنوھر
جنوهردار|جنوھردار
جه|جہ
جهائو|جھائو
جهائوئو|جھائوئو
جهائـين|جھائـين
جهاجهه|جهاجهہ
جهاد|جھاد
جهاز|جھاز
جهازران|جھازران
جهازي|جھازي
جهالت|جھالت
جهان|جھان
جهانء|جھانء
جهانئون|جھانئون
جهانئين|جھانئين
جهانار|جهانار
جهانجهه|جهانجهہ
جهانجهَه|جهانجهَہ
جهانگير|جھانگير
جهانگيڙو|جهانگيڙو
جهانهليو|جهانھليو
جهجهاڻ|جهجهاڻ
جهجهه|جهجهہ
جهد|جھد
جهڏ|جهڏ
جهڙو|جھڙو
جهڙي|جھڙي
جهل|جھل
جهن|جھن
جهنبڻ|جهنبڻ
جهنم|جھنم
جهنمي|جھنمي
جهنو|جھنو
جهه|جھہ
جهو|جھو
جهينجهه|جهينجهہ
جھئڪڻ|جهئڪڻ
جھئنڪو|جهئنڪو
جھاٻ|جهاٻ
جھاٻر|جهاٻر
جھاٻو|جهاٻو
جھاٻيرو|جهاٻيرو
جھاٻيري|جهاٻيري
جھاٻيلي|جهاٻيلي
جھاپ|جهاپ
جھاپو|جهاپو
جھاپول|جهاپول
جھات|جهات
جھاتر|جهاتر
جھاتڙي|جهاتڙي
جھاتي|جهاتي
جھاتير|جهاتير
جھاتيون|جهاتيون
جھاٽ|جهاٽ
جھاٽڪو|جهاٽڪو
جھاٽڻ|جهاٽڻ
جھاٽو|جهاٽو
جھاٽي|جهاٽي
جھاجھائڻ|جهاجهائڻ
جھاجھائي|جهاجهائي
جھاجھر|جهاجهر
جھاجھم|جهاجهم
جھار|جهار
جھارا|جهارا
جھارڻ|جهارڻ
جھارو|جهارو
جھاري|جهاري
جھاڙ|جهاڙ
جھاڙکو|جهاڙکو
جھاڙڪو|جهاڙڪو
جھاڙڻ|جهاڙڻ
جھاڙو|جهاڙو
جھاڙوکيو|جهاڙوکيو
جھاڙولو|جهاڙولو
جھاڙي|جهاڙي
جھاڪ|جهاڪ
جھاڪڻ|جهاڪڻ
جھاڪو|جهاڪو
جھاڳ|جهاڳ
جھاڳڻ|جهاڳڻ
جھاڳور|جهاڳور
جھاڳورا|جهاڳورا
جھاڳورڻ|جهاڳورڻ
جھاڳوري|جهاڳوري
جھاڳوڙڻ|جهاڳوڙڻ
جھاڳي|جهاڳي
جھال|جهال
جھالا|جهالا
جھالائو|جهالائو
جھالار|جهالار
جھالارو|جهالارو
جھالاري|جهالاري
جھالر|جهالر
جھالردار|جهالردار
جھالڪو|جهالڪو
جھالو|جهالو
جھالي|جهالي
جھاليون|جهاليون
جھام|جهام
جھامٽي|جهامٽي
جھامرو|جهامرو
جھاموٽجڻ|جهاموٽجڻ
جھانپو|جهانپو
جھانپور|جھانپور
جھانڀا|جهانڀا
جھانڀو|جهانڀو
جھانٽ|جهانٽ
جھانجھر|جهانجهر
جھانجھرا|جهانجهرا
جھانجھرو|جهانجهرو
جھانجھلي|جهانجهلي
جھانجھڻجا|جهانجهڻجا
جھانجھھ|جھانجھہ
جھانڪ|جهانڪ
جھانڪڻ|جهانڪڻ
جھانڪو|جهانڪو
جھانگارا|جهانگارا
جھانگاري|جهانگاري
جھانگاڻ|جهانگاڻ
جھانگرو|جهانگرو
جھانگڙو|جهانگڙو
جھانگي|جهانگي
جھانور|جهانور
جھانورا|جهانورا
جھانورائي|جهانورائي
جھانورو|جهانورو
جھاني|جهاني
جھٻ|جهٻ
جھٻا|جهٻا
جھٻائڻ|جهٻائڻ
جھٻٽ|جهٻٽ
جھٻٽڻ|جهٻٽڻ
جھٻر|جهٻر
جھٻرڪ|جهٻرڪ
جھٻڪو|جهٻڪو
جھٻلو|جهٻلو
جھٻڻ|جهٻڻ
جھٻو|جهٻو
جھٻي|جهٻي
جھٻير|جهٻير
جھپ|جهپ
جھپائڻ|جهپائڻ
جھپاٽو|جهپاٽو
جھپامڻ|جهپامڻ
جھپٽ|جهپٽ
جھپٽي|جهپٽي
جھپجڻ|جهپجڻ
جھپر|جهپر
جھپڙ|جهپڙ
جھپڙڻ|جهپڙڻ
جھپڪو|جهپڪو
جھپلا|جهپلا
جھپڻ|جهپڻ
جھپو|جهپو
جھپيٽ|جهپيٽ
جھت|جهت
جھتر|جهتر
جھتري|جهتري
جھتي|جهتي
جھتيال|جهتيال
جھٽ|جهٽ
جھٽجڻ|جهٽجڻ
جھٽر|جهٽر
جھٽڪڻ|جهٽڪڻ
جھٽڪو|جهٽڪو
جھٽڻ|جهٽڻ
جھٽو|جهٽو
جھٽون|جهٽون
جھٽي|جهٽي
جھٽيء|جهٽيء
جھٽيال|جهٽيال
جھٽينگ|جهٽينگ
جھٽيون|جهٽيون
جھجھائي|جهجهائي
جھجھر|جهجهر
جھجھري|جهجهري
جھجھڪارڻ|جهجهڪارڻ
جھجھو|جهجهو
جھڄ|جهڄ
جھڄڻ|جهڄڻ
جھڏا|جهڏا
جھڏو|جهڏو
جھڏون|جهڏون
جھر|جهر
جھراٽ|جهراٽ
جھرانڊي|جهرانڊي
جھرجھور|جهرجهور
جھرر|جهرر
جھرڙ|جهرڙ
جھرڙڻ|جهرڙڻ
جھرڪ|جهرڪ
جھرڪلي|جهرڪلي
جھرڪڻ|جهرڪڻ
جھرڪڻو|جهرڪڻو
جھرڪڻي|جهرڪڻي
جھرڪو|جهرڪو
جھرڪي|جهرڪي
جھرڪياري|جهرڪياري
جھرڪيون|جهرڪيون
جھرڳ|جهرڳ
جھرڳل|جهرڳل
جھرمٽ|جهرمٽ
جھرمر|جهرمر
جھرڻ|جهرڻ
جھرڻو|جهرڻو
جھرو|جهرو
جھروٽ|جهروٽ
جھروڪ|جهروڪ
جھروڪو|جهروڪو
جھرون|جهرون
جھري|جهري
جھريل|جهريل
جھريندو|جهريندو
جھڙ|جهڙ
جھڙا|جهڙا
جھڙائي|جهڙائي
جھڙالو|جهڙالو
جھڙالي|جهڙالي
جھڙپ|جهڙپ
جھڙپڻ|جهڙپڻ
جھڙڪو|جهڙڪو
جھڙڳ|جهڙڳ
جھڙڳا|جهڙڳا
جھڙڳو|جهڙڳو
جھڙڻ|جهڙڻ
جھڙيارو|جهڙيارو
جھڙيل|جهڙيل
جھڙيون|جهڙيون
جھڪ|جهڪ
جھڪائجڻ|جهڪائجڻ
جھڪائڻ|جهڪائڻ
جھڪائي|جهڪائي
جھڪاٽڻ|جهڪاٽڻ
جھڪاجھڪ|جهڪاجهڪ
جھڪاڻ|جهڪاڻ
جھڪجڻ|جهڪجڻ
جھڪڪو|جهڪڪو
جھڪل|جهڪل
جھڪڻ|جهڪڻ
جھڪڻو|جهڪڻو
جھڪو|جهڪو
جھڪوٽ|جهڪوٽ
جھڪور|جهڪور
جھڪوڙڻ|جهڪوڙڻ
جھڪي|جهڪي
جھگر|جهگر
جھڳ|جهڳ
جھڳارڻ|جهڳارڻ
جھڳٽو|جهڳٽو
جھڳرو|جهڳرو
جھڳڙ|جهڳڙ
جھڳڙا|جهڳڙا
جھڳڙائي|جهڳڙائي
جھڳڙڻ|جهڳڙڻ
جھڳڙو|جهڳڙو
جھڳڙي|جهڳڙي
جھڳل|جهڳل
جھڳلي|جهڳلي
جھڳمڳ|جهڳمڳ
جھڳمڳيو|جهڳمڳيو
جھڳڻ|جهڳڻ
جھڳو|جهڳو
جھڳور|جهڳور
جھڳورڻ|جهڳورڻ
جھڳوري|جهڳوري
جھڳوڙ|جهڳوڙ
جھڳوڙڻ|جهڳوڙڻ
جھڳي|جهڳي
جھڳيا|جهڳيا
جھل|جهل
جھلائڻ|جهلائڻ
جھلائو|جهلائو
جھلجڻ|جهلجڻ
جھلري|جهلري
جھلڪ|جهلڪ
جھلڪا|جهلڪا
جھلڪار|جهلڪار
جھلڪڻ|جهلڪڻ
جھلڪڻو|جهلڪڻو
جھلڪو|جهلڪو
جھلنگ|جهلنگ
جھلڻ|جهلڻ
جھلڻو|جهلڻو
جھلو|جهلو
جھلوري|جهلوري
جھلون|جهلون
جھلي|جهلي
جھم|جهم
جھما|جهما
جھمائڻ|جهمائڻ
جھمٽ|جهمٽ
جھمٽا|جهمٽا
جھمٽڙي|جهمٽڙي
جھمٽو|جهمٽو
جھمٽي|جهمٽي
جھمر|جهمر
جھمريون|جهمريون
جھمڪ|جهمڪ
جھمڪائڻ|جهمڪائڻ
جھمڪڻ|جهمڪڻ
جھمڪو|جهمڪو
جھمڻ|جهمڻ
جھمو|جهمو
جھمي|جهمي
جھنئرو|جهنئرو
جھنئوڪو|جهنئوڪو
جھنپڻ|جهنپڻ
جھنڀوٽ|جهنڀوٽ
جھنڀوٽڻ|جهنڀوٽڻ
جھنڀوٽين|جهنڀوٽين
جھنجھٽ|جهنجهٽ
جھنجھڻ|جهنجهڻ
جھنجھڻو|جهنجهڻو
جھنجھھ|جهنجهہ
جھنجھوٽي|جهنجهوٽي
جھنجھوڙڻ|جهنجهوڙڻ
جھنجھي|جهنجهي
جھنڊ|جهنڊ
جھنڊا|جهنڊا
جھنڊائڻ|جهنڊائڻ
جھنڊاڻي|جهنڊاڻي
جھنڊجڻ|جهنڊجڻ
جھنڊڻ|جهنڊڻ
جھنڊو|جهنڊو
جھنڊولو|جهنڊولو
جھنڊي|جهنڊي
جھنگ|جهنگ
جھنگار|جهنگار
جھنگارا|جهنگارا
جھنگارڻ|جهنگارڻ
جھنگر|جهنگر
جھنگراٽو|جهنگراٽو
جھنگرار|جهنگرار
جھنگراڙ|جهنگراڙ
جھنگل|جهنگل
جھنگلپائي|جهنگلپائي
جھنگلو|جهنگلو
جھنگلي|جهنگلي
جھنگليپڻ|جهنگليپڻ
جھنگليپڻو|جهنگليپڻو
جھنگڻ|جهنگڻ
جھنگو|جهنگو
جھنوڻ|جهنوڻ
جھڻ|جهڻ
جھڻٻچو|جهڻٻچو
جھڻڪ|جهڻڪ
جھڻڪار|جهڻڪار
جھڻڪڻ|جهڻڪڻ
جھڻي|جهڻي
جھوئڻ|جهوئڻ
جھوٻ|جهوٻ
جھوٻاٽڻ|جهوٻاٽڻ
جھوٻڻ|جهوٻڻ
جھوٻو|جهوٻو
جھوٻيل|جهوٻيل
جھوپڙو|جهوپڙو
جھوپڙي|جهوپڙي
جھوت|جهوت
جھوتا|جهوتا
جھوتائي|جهوتائي
جھوتڻ|جهوتڻ
جھوتو|جهوتو
جھوتون|جهوتون
جھوٽ|جهوٽ
جھوٽا|جهوٽا
جھوٽڻ|جهوٽڻ
جھوٽو|جهوٽو
جھوجھر|جهوجهر
جھوجھو|جهوجهو
جھور|جهور
جھورا|جهورا
جھورائڻ|جهورائڻ
جھوراڻو|جهوراڻو
جھورڻ|جهورڻ
جھورو|جهورو
جھوري|جهوري
جھوڙ|جهوڙ
جھوڙڻ|جهوڙڻ
جھوڙو|جهوڙو
جھوڙي|جهوڙي
جھوڙيدار|جهوڙيدار
جھوڪ|جهوڪ
جھوڪڙ|جهوڪڙ
جھوڪڻ|جهوڪڻ
جھوڪو|جهوڪو
جھوڳ|جهوڳ
جھوڳڻ|جهوڳڻ
جھول|جهول
جھولائڻ|جهولائڻ
جھولان|جهولان
جھولڻ|جهولڻ
جھولڻو|جهولڻو
جھولو|جهولو
جھولي|جهولي
جھوليء|جهوليء
جھوم|جهوم
جھومر|جهومر
جھومڪ|جهومڪ
جھومڪو|جهومڪو
جھون|جهون
جھونا|جهونا
جھونائي|جهونائي
جھونپي|جهونپي
جھونت|جهونت
جھونٽڻان|جهونٽڻان
جھونجھار|جهونجهار
جھونجھارڪو|جهونجهارڪو
جھونجھاڪڙو|جهونجهاڪڙو
جھونجھاڻ|جهونجهاڻ
جھونجھڙو|جهونجهڙو
جھونجھڻ|جهونجهڻ
جھونڊار|جهونڊار
جھونڊڻ|جهونڊڻ
جھونڊي|جهونڊي
جھونڪڻ|جهونڪڻ
جھونگار|جهونگار
جھونگارڻ|جهونگارڻ
جھونگڻ|جهونگڻ
جھونو|جهونو
جھوڻ|جهوڻ
جھوڻو|جهوڻو
جھوڻي|جهوڻي
جھي|جهي
جھيٻ|جهيٻ
جھيٻو|جهيٻو
جھيت|جهيت
جھيتو|جهيتو
جھيجا|جهيجا
جھير|جهير
جھيرائڻ|جهيرائڻ
جھيراڻ|جهيراڻ
جھيرٽ|جهيرٽ
جھيرڻ|جهيرڻ
جھيرڻو|جهيرڻو
جھيرڻيا|جهيرڻيا
جھيرو|جهيرو
جھيز|جهيز
جھيڙائڻ|جهيڙائڻ
جھيڙائي|جهيڙائي
جھيڙاڪ|جهيڙاڪ
جھيڙاڪر|جهيڙاڪر
جھيڙاڳڙ|جهيڙاڳڙ
جھيڙڻ|جهيڙڻ
جھيڙو|جهيڙو
جھيڙوڪرڻ|جهيڙوڪرڻ
جھيڪ|جهيڪ
جھيڪارڻ|جهيڪارڻ
جھيڪارو|جهيڪارو
جھيڪر|جهيڪر
جھيڪڻ|جهيڪڻ
جھيڪو|جهيڪو
جھيل|جهيل
جھيلار|جهيلار
جھيلاڙو|جهيلاڙو
جھيلو|جهيلو
جھيلي|جهيلي
جھيم|جهيم
جھيمڻ|جهيمڻ
جھينگار|جهينگار
جھينگارئڻ|جهينگارئڻ
جھينگارڻ|جهينگارڻ
جھينگاڙ|جهينگاڙ
جھينگر|جهينگر
جھينگڙ|جهينگڙ
جھينگڻ|جهينگڻ
جھينگو|جهينگو
جھيڻ|جهيڻ
جھيڻائي|جهيڻائي
جھيڻو|جهيڻو
جوئنده|جوئندہ
جوابدهي|جوابدهي
جواهر|جواھر
جواهرات|جواھرات
جواهري|جواھري
جوجھر|جوجهر
جوزهندي|جوزھندي
جوڙيئھ|جوڙيئہ
جوشانده|جوشاندہ
جولاهه|جولاھ
جولاهو|جولاھو
جونجھا|جونجها
جونجھارو|جونجهارو
جونجھه|جونجهہ
جوڻاهه|جوڻاھ
جوهئل|جوھئل
جوهاري|جوھاري
جوهر|جوھر
جوهردار|جوھردار
جوهري|جوھري
جوهريو|جوھريو
جوهڙ|جوھڙ
جوهڻ|جوھڻ
جوهه|جوھہ
جوهو|جوھو
جوهي|جوھي
جوينده|جويندہ
جيڏانهن|جيڏانھن
جيڏانهون|جيڏانھون
جيڏانهين|جيڏانھين
جيڏهان|جيڏھان
جيڏهن|جيڏھن
جيڏهين|جيڏھين
جيڪڏهن|جيڪڏھن
جيلانه|جيلانھ
جيلانهين|جيلانھين
جيلاهه|جيلاھ
جينجھر|جينجهر
جينجھري|جينجهري
جينهل|جينھل
جيها|جيھا
جيهر|جيھر
جيهل|جيھل
جيهو|جيھو
